title,category,sub-category,price,sale_price,in_stock,country,volume,alcohol,brand,url,scrapped_time,desc_1,desc_2,desc_3
Tuborg Can 500ML,Beer,Domestic Beer,Rs. 335,N/A,1,Nepal,500ML,5.5%,Tuborg,https://cheers.com.np/liquor/product/tuborg-can-500ml,2023-09-24,"Launched in Nepal in 1990 and enjoyed worldwide since 1880, Tuborg is the largest selling, most preferred and therefore the number 1 beer brand in Nepal.",Tuborg recently unveiled its new look with the innovative Pull-Off Cap for the first time in Nepal.,Tuborg also has a strong association with music and has been involved with various musical events over the years with the essence of Open for Fun…wherever you are.
Tuborg Bottle 650ML,Beer,Domestic Beer,Rs. 425,N/A,1,Nepal,650ML,5.5%,Tuborg,https://cheers.com.np/liquor/product/tuborg-bottle-650ml,2023-09-24,"Launched in Nepal in 1990 and enjoyed worldwide since 1880, Tuborg is the largest selling, most preferred and therefore the number 1 beer brand in Nepal.",Tuborg recently unveiled its new look with the innovative Pull-Off Cap for the first time in Nepal.,Tuborg also has a strong association with music and has been involved with various musical events over the years with the essence of Open for Fun…wherever you are.
Tuborg Bottle 330ML,Beer,Domestic Beer,Rs. 220,N/A,1,Nepal,330ML,5.5%,Tuborg,https://cheers.com.np/liquor/product/tuborg-bottle-330ml,2023-09-24,"Launched in Nepal in 1990 and enjoyed worldwide since 1880, Tuborg is the largest selling, most preferred and therefore the number 1 beer brand in Nepal.",Tuborg recently unveiled its new look with the innovative Pull-Off Cap for the first time in Nepal.,Tuborg also has a strong association with music and has been involved with various musical events over the years with the essence of Open for Fun…wherever you are.
Tuborg 650ML x 12 Bottles,Beer,Beer Case,"Rs. 4,945",N/A,1,Nepal,650ML,5.5%,Tuborg,https://cheers.com.np/liquor/product/tuborg-650ml-x-12-bottles,2023-09-24,"Launched in Nepal in 1990 and enjoyed worldwide since 1880, Tuborg is the largest selling, most preferred and therefore the number 1 beer brand in Nepal.",,Tuborg recently unveiled its new look with the innovative Pull-Off Cap for the first time in Nepal.
Tuborg 500ML x 12 Cans,Beer,Beer Case,"Rs. 3,900",N/A,1,Nepal,500ML,5.5%,Tuborg,https://cheers.com.np/liquor/product/tuborg-500ml-x-12-cans,2023-09-24,"Launched in Nepal in 1990 and enjoyed worldwide since 1880, Tuborg is the largest selling, most preferred and therefore the number 1 beer brand in Nepal.",,Tuborg recently unveiled its new look with the innovative Pull-Off Cap for the first time in Nepal.
Tuborg 330ML x 24 Bottles,Beer,Beer Case,"Rs. 5,120",N/A,1,Nepal,330ML,5.5%,Tuborg,https://cheers.com.np/liquor/product/tuborg-330ml-x-24-bottles,2023-09-24,"Launched in Nepal in 1990 and enjoyed worldwide since 1880, Tuborg is the largest selling, most preferred and therefore the number 1 beer brand in Nepal.",Tuborg recently unveiled its new look with the innovative Pull-Off Cap for the first time in Nepal.,Tuborg also has a strong association with music and has been involved with various musical events over the years with the essence of Open for Fun…wherever you are.
Tsingtao Premium Lager Can 500ML,Beer,Imported Beer,Rs. 450,N/A,0,China,500ML,5%,Tsingtao,https://cheers.com.np/liquor/product/tsingtao-premium-lager-can-500ml,2023-09-24,"Tsingtao beer is a truly authentic Chinese beer, only ever brewed in the sea port of Qingdao, in North Eastern China. This guarantees that every bottle contains the same pure ingredients and has the same great taste.","Internationally recognised as the finest beer in China, Tsingtao is an incredibly smooth and easy to drink pilsner.","A cleansing, hoppy European Lager style. A partner for a wide array of Chinese foods."
Tsingtao Premium Lager Can 330ML,Beer,Imported Beer,Rs. 350,N/A,0,China,330ML,5%,Tsingtao,https://cheers.com.np/liquor/product/tsingtao-premium-lager-can-330ml,2023-09-24,"Tsingtao beer is a truly authentic Chinese beer, only ever brewed in the sea port of Qingdao, in North Eastern China. This guarantees that every bottle contains the same pure ingredients and has the same great taste.","Internationally recognised as the finest beer in China, Tsingtao is an incredibly smooth and easy to drink pilsner.","A cleansing, hoppy European Lager style. A partner for a wide array of Chinese foods."
Tsingtao Premium Lager Bottle 640ML,Beer,Imported Beer,Rs. 650,N/A,0,China,640ML,5%,Tsingtao,https://cheers.com.np/liquor/product/tsingtao-premium-lager-bottle-640ml,2023-09-24,"Tsingtao beer is a truly authentic Chinese beer, only ever brewed in the sea port of Qingdao, in North Eastern China. This guarantees that every bottle contains the same pure ingredients and has the same great taste.","Internationally recognised as the finest beer in China, Tsingtao is an incredibly smooth and easy to drink pilsner.","A cleansing, hoppy European Lager style. A partner for a wide array of Chinese foods."
Tsingtao Premium Lager Bottle 330ML,Beer,Imported Beer,Rs. 350,N/A,0,China,330ML,5%,Tsingtao,https://cheers.com.np/liquor/product/tsingtao-premium-lager-bottle-330ml,2023-09-24,"Tsingtao beer is a truly authentic Chinese beer, only ever brewed in the sea port of Qingdao, in North Eastern China. This guarantees that every bottle contains the same pure ingredients and has the same great taste.","Internationally recognised as the finest beer in China, Tsingtao is an incredibly smooth and easy to drink pilsner.","A cleansing, hoppy European Lager style. A partner for a wide array of Chinese foods."
Tenjaku Japanese Blended Whisky 700ML,Whisky,Premium Whisky,"Rs. 10,945",N/A,1,Japan,700ML,40%,Tenjaku,https://cheers.com.np/liquor/product/tenjaku-japanese-blended-whisky-700ml,2023-09-24,"""",""" is the Japanese characters for the skylark (hibari), the much-loved herald of spring, and for this masterly blended whisky.","Starting with a mash bill of 86% corn and 14% barley, the whisky is then double copper pot distilled using some of the world’s most pristine waters from the Misaka Mountain range in the Mt. Fuji basin, 250 meters below the surface. This is the some of the purest water in the world and where the highest-grade sake’s source their water."
Jack Daniel's Gentleman Jack 375ML,Whisky,American & Bourbon Whisky,"Rs. 3,485",N/A,1,United States of America,375ML,40%,Jack Daniel's,https://cheers.com.np/liquor/product/jack-daniels-gentleman-jack-375ml,2023-09-24,"Jack Daniel's Gentleman Jack is charcoal mellowed before going into the barrel. Gentleman Jack, however, receives an additional “blessing” when it is charcoal mellowed again after reaching maturity giving it ultimate smoothness. Gentleman Jack is full-bodied with fruit and spices, and its finish is silky, warm, and pleasant.","When you drink Gentleman Jack, do so with pride, for this is the whiskey a gentleman orders.",
Yorkshire Label 750ML,Whisky,Domestic Whisky,"Rs. 1,040",N/A,0,Nepal,750ML,34.3%,Yorkshire Label,https://cheers.com.np/liquor/product/yorkshire-label-750ml,2023-09-24,A blend of 5 years old scotch malt selected by our Master Distiller from the private estates of Yorkshire situated in the prestigious Speyside Glenlivet region & married with Imported Neutral Grain spirit.,,
Yarchagumba Golden Sapphire 750ML,Whisky,Premium Whisky,"Rs. 11,000",N/A,1,Nepal,750ML,40%,Yarchagumba,https://cheers.com.np/liquor/product/yarchagumba-golden-sapphire-750ml,2023-09-24,Yarchagumba is a legendary herbal substance that is found in the mountain pastures of Nepal at an altitude of 4000-5000 meters.,"It is a century old, widely trusted medicinal herb, beneficial to people with various medical conditions. It is famously known as the Himalayan Aphrodisiac and is an anti-aging tonic that adds natural charm to the attainment of a long healthy life.",Yarchagumba Health Beverage is a specially formulated drink in which Yarchagumba has been blended with alcohol and multiple natural herbs to provide the most beneficial extract.
Woodford Reserve 750ML,Whisky,American & Bourbon Whisky,"Rs. 7,780",N/A,0,United States of America,750ML,43.2%,Woodford Reserve,https://cheers.com.np/liquor/product/woodford-reserve-750ml,2023-09-24,"Woodford Reserve Bourbon has complex and balanced with rich vanilla flavours layered with oak, spice and a smooth finish, all derived from a meticulous production process.","The taste is rich, chewy, rounded and smooth, with complex citrus, cinnamon and cocoa. The finish is long and mature with notes of cereals and toasty oaken spice.",
White Horse 750ML,Whisky,Regular Whisky,"Rs. 4,525",N/A,1,Scotland,750ML,40%,White Horse,https://cheers.com.np/liquor/product/white-horse-750ml,2023-09-24,White Horse is made from a blend of 60% grain whisky and 40% single malt whisky.In 1924 White Horse became the first whisky ever to be bottled with a screw top cap instead of a cork.,,
Virgin Black 750ML,Whisky,Domestic Whisky,"Rs. 1,060",N/A,1,Nepal,750ML,34.3%,Virgin,https://cheers.com.np/liquor/product/virgin-black-750ml,2023-09-24,~~ Special 20th Anniversary Edition ~~,"Virgin Black is a premium blend of imported Scotch malt, 100% grain spirits & 100% natural flavors.",
VAT 69 750ML,Whisky,Regular Whisky,"Rs. 4,750",N/A,1,Scotland,750ML,40%,VAT 69,https://cheers.com.np/liquor/product/vat-69-750ml,2023-09-24,"VAT 69 is a blended Whisky produced by William Sanderson. It has upfront malty, heather sweetness and a lovely peat smoke savoury finish.",,
VAT 69 375ML,Whisky,Regular Whisky,"Rs. 2,425",N/A,1,Scotland,375ML,40%,VAT 69,https://cheers.com.np/liquor/product/vat-69-375ml,2023-09-24,"VAT 69 is a blended Whisky produced by William Sanderson. It has upfront malty, heather sweetness and a lovely peat smoke savoury finish.",,
VAT 69 1L,Whisky,Regular Whisky,"Rs. 6,290",N/A,1,Scotland,1000ML,40%,VAT 69,https://cheers.com.np/liquor/product/vat-69-1l,2023-09-24,"VAT 69 is a blended Whisky produced by William Sanderson. It has upfront malty, heather sweetness and a lovely peat smoke savoury finish.",,
Tullamore Dew Irish 1L,Whisky,Regular Whisky,"Rs. 8,900",N/A,1,Ireland,1000ML,40%,Tullamore DEW,https://cheers.com.np/liquor/product/tullamore-dew-irish-1l,2023-09-24,"First blended in 1829 in the small Irish town of Tullamore in County Offaly, Tullamore D.E.W takes its name from one of the earliest influencers of the newly established distillery, Daniel E Williams (D.E.W.).","Triple distilled and patiently aged in a combination of ex-bourbon and sherry casks, this original blended Irish whiskey is known the world over for its smooth and gentle complexity.",It is still one of the most famous Irish whiskeys due to its light and elegant flavours that are best savoured over ice.
The Six Isles Voyager Blended Malt 700ML,Whisky,Premium Whisky,"Rs. 7,900",N/A,1,Scotland,700ML,46%,The Six Isles,https://cheers.com.np/liquor/product/the-six-isles-voyager-blended-malt-700ml,2023-09-24,"The Six Isles is a true one-off, because nobody else brings together single malts from the six ancient islands of Scotland:",",",","
The Six Isles Batch Strength Blended Malt 700ML,Whisky,Premium Whisky,"Rs. 8,500",N/A,1,Scotland,700ML,58%,The Six Isles,https://cheers.com.np/liquor/product/the-six-isles-batch-strength-blended-malt-700ml,2023-09-24,"The Six Isles is a true one-off, because nobody else brings together single malts from the six ancient islands of Scotland:",",",","
The Sexton Irish Single Malt 700ML,Whisky,Single Malt Whisky,"Rs. 8,445",N/A,1,Ireland,700ML,40%,The Sexton,https://cheers.com.np/liquor/product/the-sexton-irish-single-malt-700ml,2023-09-24,"The creation of master blender Alex Thomas, The Sexton Single Malt Irish whiskey is made from 100% Irish malted barley, triple distilled in copper pot stills. After, the liquid is aged in Spanish Oloroso sherry casks imparting a rich and fruity character.",Rich in hue.,"Rich aromas of nuts, marzipan and dark chocolate with a pinch of spice."
The Macallan A Night On Earth 700ML,Whisky,Single Malt Whisky,"Rs. 14,990",N/A,1,Scotland,700ML,40%,The Macallan,https://cheers.com.np/liquor/product/the-macallan-a-night-on-earth-700ml,2023-09-24,"A Night on Earth in Scotland is created from a selection of The Macallan’s exceptional American and European oak sherry seasoned casks, along with American ex-bourbon barrels to deliver its rich, sweet shortbread-like character.","A whisky referencing the rich Scottish delicacy traditionally gifted and eaten at Hogmanay, punctuated by festive notes of dried orange and spice.",COLOUR: Warm Ember.
The Macallan 18yrs Double Cask 700ML,Whisky,Single Malt Whisky,"Rs. 45,900",N/A,1,Scotland,700ML,43%,The Macallan,https://cheers.com.np/liquor/product/the-macallan-18yrs-double-cask-700ml,2023-09-24,"Two oaks, creating the perfect harmony within one exceptional single malt whisky.","Our Double Cask whiskies are aged in two types of oak, in specially selected hand-crafted casks seasoned with dry Oloroso sherry. American oak imparts delicate flavours of vanilla, citrus and butterscotch. European oak delivers the unmistakable subtle spice of The Macallan.","Once matured, two exceptional whiskies unite to create a distinctive single malt with a sweeter, warmer taste and character."
The Macallan 15yrs Double Cask 700ML,Whisky,Single Malt Whisky,"Rs. 21,900",N/A,1,Scotland,700ML,43%,The Macallan,https://cheers.com.np/liquor/product/the-macallan-15yrs-double-cask-700ml,2023-09-24,The Macallan Double Cask 15 Years Old is a balanced single malt whisky created by bringing the perfect harmony of two oaks into one exceptional single malt whisky.,"Sherry seasoned American oak adds delicate vanilla to the subtle spice of European oak, delivering a whisky with a sweeter, warmer taste and character.",COLOUR: Golden butterscotch.
The Macallan 12yrs Sherry Oak Cask 700ML,Whisky,Single Malt Whisky,"Rs. 12,990",N/A,1,Scotland,700ML,40%,The Macallan,https://cheers.com.np/liquor/product/the-macallan-12yrs-sherry-oak-cask-700ml,2023-09-24,The Macallan Sherry Oak 12 Years Old forms part of our Sherry Oak range which features a series of single malt whiskies matured exclusively in hand-picked sherry seasoned oak casks from Jerez for richness and complexity.,COLOUR: Rich gold.,NOSE: Complex with hints of vanilla.
The Macallan 12yrs Double Cask 700ML,Whisky,Single Malt Whisky,"Rs. 12,490",N/A,1,Scotland,700ML,40%,The Macallan,https://cheers.com.np/liquor/product/the-macallan-12yrs-double-cask-700ml,2023-09-24,The Macallan Double Cask 12 Years Old forms part of our Double Cask range which marries the classic Macallan style and the unmistakable sweetness of American oak.,"This is a fully rounded single malt in perfect balance, with flavours of honey, citrus and ginger.",COLOUR: Harvest sun.
The Glenlivet Founder's Reserve 1L,Whisky,Single Malt Whisky,"Rs. 9,800",N/A,1,Scotland,1000ML,40%,The Glenlivet,https://cheers.com.np/liquor/product/the-glenlivet-founders-reserve-1l,2023-09-24,"Inspired by the legendary founder George Smith, this whisky is an expression of both tradition and innovation.",The Glenlivet Founder's Reserve is a skillful selection of casks enhances the signature fruity flavours of The Glenlivet with traditional oak casks being complemented by selective use of American first-fill casks to give a hint of creamy sweetness creating an exceptionally well-balanced and smooth malt.,"The gentle fruitiness continues on to the palate, with pear the dominant note, accompanied by a refreshing mintiness. Very soft texture and mouth-feel with no rough edges. Easy to drink."
The Glenlivet 25yrs XXV 700ML,Whisky,Single Malt Whisky,"Rs. 70,400",N/A,1,Scotland,700ML,43%,The Glenlivet,https://cheers.com.np/liquor/product/the-glenlivet-25yrs-xxv-700ml,2023-09-24,Creating this exceptional whisky requires craftsmanship and mastery of centuries’ old traditions.,"The Glenlivet XXV is the perfect tribute to the skill and judgement of the craftsmen involved in making this special whisky. The original new spirit character, fruity and floral, has been faithfully retained during years of careful maturation.","The final finish in rare ex-sherry butts yields a sublime, intense whisky of powerful yet elegant character."
The Glenlivet 21yrs 700ML,Whisky,Single Malt Whisky,"Rs. 35,375",N/A,1,Scotland,700ML,43%,The Glenlivet,https://cheers.com.np/liquor/product/the-glenlivet-21yrs-700ml,2023-09-24,The Glenlivet Archive 21 Year Old is a batch produced whisky using only hand-selected casks. Glenlivet is one of those distilleries whose malts just keep improving with age.,"This superb 21 year old is an elegant, intricate, sophisticated malt. It is a complex whisky with sherry and wood notes integrating seamlessly with the aromatic palette.",Let the pleasure linger late into the night.
The Glenlivet 18yrs 700ML,Whisky,Single Malt Whisky,"Rs. 16,900",N/A,1,Scotland,700ML,40%,The Glenlivet,https://cheers.com.np/liquor/product/the-glenlivet-18yrs-700ml,2023-09-24,The rich palate of the 18 Year Old Glenlivet is the result of a combination of several different cask types.,"This is a Sherry-finished Speyside malt Whisky. Honey in colour, spiced on the nose and a smoky palate make this a gorgeously luxurious Scotch.","Smooth and velvety, with a firm foundation. Sweetness is immediately followed by a tantalising burst of spices and bitter oranges drying out on oaky notes."
The Glenlivet 18yrs 1L,Whisky,Single Malt Whisky,"Rs. 24,125",N/A,1,Scotland,1000ML,43%,The Glenlivet,https://cheers.com.np/liquor/product/the-glenlivet-18yrs-1l,2023-09-24,The rich palate of the 18 Year Old Glenlivet is the result of a combination of several different cask types.,"This is a Sherry-finished Speyside malt Whisky. Honey in colour, spiced on the nose and a smoky palate make this a gorgeously luxurious Scotch.","Smooth and velvety, with a firm foundation. Sweetness is immediately followed by a tantalising burst of spices and bitter oranges drying out on oaky notes."
The Glenlivet 15yrs 700ML,Whisky,Single Malt Whisky,"Rs. 12,000",N/A,1,Scotland,700ML,40%,The Glenlivet,https://cheers.com.np/liquor/product/the-glenlivet-15yrs-700ml,2023-09-24,"The Glenlivet 15 year old is matured in new French Oak casks made from Limousin oak, creating a characterful and unique expression.","By using new French oak casks to finish this scotch, a fantastic vanilla and spice character is leeched into the whisky. This compliments the sweet malt and floral characters perfectly.",
The Glenlivet 15yrs 1L,Whisky,Single Malt Whisky,"Rs. 16,850",N/A,1,Scotland,1000ML,40%,The Glenlivet,https://cheers.com.np/liquor/product/the-glenlivet-15yrs-1l,2023-09-24,"The Glenlivet 15 year old is matured in new French Oak casks made from Limousin oak, creating a characterful and unique expression.","By using new French oak casks to finish this scotch, a fantastic vanilla and spice character is leeched into the whisky. This compliments the sweet malt and floral characters perfectly.",
The Glenlivet 12yrs Double Oak 750ML,Whisky,Single Malt Whisky,"Rs. 8,255",N/A,1,Scotland,750ML,40%,The Glenlivet,https://cheers.com.np/liquor/product/the-glenlivet-12yrs-double-oak-750ml,2023-09-24,"One of the worlds most recognised Scotch Whisky's, Glenlivet is a supremely elegant whisky of rewarding and subtle complexity.","The Glenlivet 12 Year Old’s legendary smooth character and tropical fruity notes come from spending quality time in a mix of American oak casks, which have been seasoned with Bourbon, and European oak.","Grassy and floral, with a delicate perfume. Soft citrus notes of lemon and grapefruit, joined by nutty notes of almond and hazelnut."
The Glenlivet 12yrs Double Oak 1L,Whisky,Single Malt Whisky,"Rs. 10,750",N/A,1,Scotland,1000ML,40%,The Glenlivet,https://cheers.com.np/liquor/product/the-glenlivet-12yrs-double-oak-1l,2023-09-24,"One of the worlds most recognised Scotch Whisky's, Glenlivet is a supremely elegant whisky of rewarding and subtle complexity.","The Glenlivet 12 Year Old’s legendary smooth character and tropical fruity notes come from spending quality time in a mix of American oak casks, which have been seasoned with Bourbon, and European oak.","Grassy and floral, with a delicate perfume. Soft citrus notes of lemon and grapefruit, joined by nutty notes of almond and hazelnut."
The Famous Grouse 750ML,Whisky,Premium Whisky,"Rs. 5,175",N/A,1,Scotland,750ML,40%,The Famous Grouse,https://cheers.com.np/liquor/product/the-famous-grouse-750ml,2023-09-24,The Famous Grouse Standard Blended Malt Scotch Whisky is a blending premium whisky which has been the foundation of our craft since 1800.,It is made by the finest ingredients to create a natural spirit before the passing of time imparts the wonderful flavour from our handcrafted casks.,"COLOUR: Full golden, clear and bright."
The Famous Grouse 1L,Whisky,Premium Whisky,"Rs. 6,850",N/A,1,Scotland,1000ML,40%,The Famous Grouse,https://cheers.com.np/liquor/product/the-famous-grouse-1l,2023-09-24,The Famous Grouse Standard Blended Malt Scotch Whisky is a blending premium whisky which has been the foundation of our craft since 1800.,It is made by the finest ingredients to create a natural spirit before the passing of time imparts the wonderful flavour from our handcrafted casks.,"COLOUR: Full golden, clear and bright."
The Dalmore Cigar Malt Reserve 1L,Whisky,Single Malt Whisky,"Rs. 21,000",N/A,1,Scotland,1000ML,44%,The Dalmore,https://cheers.com.np/liquor/product/the-dalmore-cigar-malt-reserve-1l,2023-09-24,"The perfect accompaniment to the finest cigars, this single malt is matured in American white oak ex-bourbon casks, Matusalem oloroso sherry casks and Cabernet Sauvignon barriques.","Hand selected casks, from the world's finest bodegas and wineries are expertly curated to create a sumptuous and layered whisky of legendary finesse.","Aroma: Cinnamon, vanilla and red fruits."
The Dalmore 18yrs 700ML,Whisky,Single Malt Whisky,"Rs. 21,345",N/A,1,Scotland,700ML,43%,The Dalmore,https://cheers.com.np/liquor/product/the-dalmore-18yrs-700ml,2023-09-24,A magnificent whisky matured in American white oak ex-bourbon casks and aged Matusalem oloroso sherry casks.,"Hand selected casks, from the world's finest bodegas and wineries are expertly curated to create a sumptuous and layered whisky of legendary finesse.","Aroma: Vanilla, dark chocolate, orange and cinnamon."
The Dalmore 15yrs 1L,Whisky,Single Malt Whisky,"Rs. 22,150",N/A,1,Scotland,1000ML,40%,The Dalmore,https://cheers.com.np/liquor/product/the-dalmore-15yrs-1l,2023-09-24,"The epitome of our house style this single malt is finished in different styles of sherry casks including Apostoles, Amoroso and Matusalem oloroso.","Aroma: Orange marmalade, cinnamon and nutmeg.","Palate: Mandarin, vanilla, ginger and crushed apples."
The Dalmore 12yrs 700ML,Whisky,Single Malt Whisky,"Rs. 12,795",N/A,1,Scotland,700ML,40%,The Dalmore,https://cheers.com.np/liquor/product/the-dalmore-12yrs-700ml,2023-09-24,An outstanding single malt matured in American white oak ex-bourbon casks and finessed in rare and aged oloroso sherry casks.,"Matured for an initial nine years in American white oak ex-bourbon casks before being carefully divided. One half continues its maturation in bourbon barrels, the other half is transferred to 30 year old Matusalem oloroso sherry casks","Complex, yet balanced, The Dalmore 12 year old is the epitome of The Dalmore house style."
The Balvenie 14yrs Caribbean Cask 700ML,Whisky,Single Malt Whisky,"Rs. 18,220",N/A,1,Scotland,700ML,43%,The Balvenie,https://cheers.com.np/liquor/product/the-balvenie-14yrs-caribbean-cask-700ml,2023-09-24,"The Balvenie Caribbean Cask 14 year old single malt whisky has been matured in traditional oak whisky casks for 14 years, and then ‘finished’ in casks that previously held Caribbean rum.",To create the ideal finish Malt Master David C. Stewart MBE filled American oak casks with his own blend of select West Indian rums.,"When he judged the casks to be ready, the rum was replaced with the 14 year old spirit and the wood was put to work adding the final touches."
The Balvenie 12yrs Doublewood 700ML,Whisky,Single Malt Whisky,"Rs. 13,200",N/A,1,Scotland,700ML,40%,The Balvenie,https://cheers.com.np/liquor/product/the-balvenie-12yrs-doublewood-700ml,2023-09-24,"The Balvenie DoubleWood is a 12 year old single malt which gains its distinctive character from being matured in two wood types. Matured for many years in traditional Whisky casks before being finished in sherry casks, this 12 year old single malt from Balvenie is rich and smooth.",It's characterised by rich honey sweetness and a delicate layer of Sherry that lingers on the palate.,The finish is long and warming.
Tenjaku Japanese Pure Malt Whisky 700ML,Whisky,Premium Whisky,"Rs. 12,980",N/A,1,Japan,700ML,43%,Tenjaku,https://cheers.com.np/liquor/product/tenjaku-japanese-pure-malt-whisky-700ml,2023-09-24,"""",""" is the Japanese characters for the skylark (hibari), the much-loved herald of spring, and for this masterly malt whisky.","Starting with a mash bill of 100% Malted Barley, the whisky is then double copper pot distilled using some of the world’s most pristine waters from the Misaka Mountain range in the Mt. Fuji basin, 250 meters below the surface. This is some of the purest water in the world and where the highest-grade sake’s source their water."
Teacher's 750ML,Whisky,Regular Whisky,"Rs. 4,700",N/A,0,Scotland,750ML,40%,Teacher's,https://cheers.com.np/liquor/product/teachers-750ml,2023-09-24,It is said that William Teacher would not give his name to his blend until he had found perfection. Highland Cream is that whisky. It uses fully smoked peat single malt whisky. This gives it incredible depth and smoothness combined with a rich smokey undertone.,There is a challenging and exciting taste that at the same time is round and warming. This superb flavour is full of rich malts and maturity that slowly fades to a silky rounded texture.,Truly a masterpiece.
Teacher's 1L,Whisky,Regular Whisky,"Rs. 6,475",N/A,1,Scotland,1000ML,40%,Teacher's,https://cheers.com.np/liquor/product/teachers-1l,2023-09-24,It is said that William Teacher would not give his name to his blend until he had found perfection. Highland Cream is that whisky. It uses fully smoked peat single malt whisky. This gives it incredible depth and smoothness combined with a rich smokey undertone.,There is a challenging and exciting taste that at the same time is round and warming. This superb flavour is full of rich malts and maturity that slowly fades to a silky rounded texture.,Truly a masterpiece.
Tamnavulin Double Cask 700ML,Whisky,Single Malt Whisky,"Rs. 9,740",N/A,1,Scotland,700ML,40%,Tamnavulin,https://cheers.com.np/liquor/product/tamnavulin-double-cask-700ml,2023-09-24,"Matured in American oak barrels for  a sweet, mellow taste with a rich, smooth Sherry cask finish.",Color: Amber gold.,"Nose: Rich, warm aromas of apple, toffee and honey with sweet marzipan and subtle tangy marmalade notes."
Tamdhu 12yrs 700ML,Whisky,Single Malt Whisky,"Rs. 9,900",N/A,1,Scotland,700ML,43%,Tamdhu,https://cheers.com.np/liquor/product/tamdhu-12yrs-700ml,2023-09-24,Pour yourself a dram of our 12-year-old expression and you’ll appreciate why we mature our spirit entirely in the finest sherry oak casks.,"The luxury box reveals the stylish bottle, allowing the natural amber spirit to shine from within. You’ll taste the intense richness on the palate and enjoy the deep, long finish it delivers.",Rich gold with amber accents.
Talisker Storm 700ML,Whisky,Single Malt Whisky,"Rs. 10,200",N/A,1,Scotland,700ML,45.8%,Talisker,https://cheers.com.np/liquor/product/talisker-storm-700ml,2023-09-24,"The Isle of Skye is the birthplace of the heralded Scotch Whisky house of Talisker. And it is this island that gives this remarkable and unique whisky its distinctive character. The power of the sea and the inherent rugged location give birth to a dram of complexity, nuance and strength.","With a sweet warmth on the nose and front palate that gives way to a briny and peppery finish courtesy of the skilful balancing of differing aged Talisker casks. Available only for a limited time, Talisker Storm is a truly tempestuous single malt.",
Talisker 25yrs 700ML,Whisky,Single Malt Whisky,"Rs. 94,000",N/A,1,Scotland,700ML,N/A,Talisker,https://cheers.com.np/liquor/product/talisker-25yrs-700ml,2023-09-24,"Talisker, one of the remotest distilleries in the world, is situated on the storm lashed Isle of Skye and has a colourful history dating back to 1830. Denounced by the local clergy, praised by none other than Robert Louis Stevenson and even suffering a still-room fire in 1960, Talisker has survived and today produces some of the smoothest and character full malts in Scotland.","The 25 Year Old is sweet and mild to begin, with some acidity and saltiness. Extraordinary flavour development then envelopes the palate that becomes dry and minerally with a mild dusting of ground white pepper.",
Talisker 10yrs 750ML,Whisky,Single Malt Whisky,"Rs. 10,500",N/A,1,Scotland,750ML,45.8%,Talisker,https://cheers.com.np/liquor/product/talisker-10yrs-750ml,2023-09-24,"Talisker is one of Scotland's remotest distilleries which produces a dram with trademark smoothness. Their 10 year old has a powerful peat and sea-salt nose; smoky sweetness with malt flavours and developing warmth with a huge, peppery finish.","One of the six classic malts of Scotland, this Whisky is best enjoyed neat or with a slight dash of water.",
Strathisla 12yrs 1L,Whisky,Single Malt Whisky,"Rs. 12,250",N/A,0,Scotland,1000ML,40%,Strathisla,https://cheers.com.np/liquor/product/strathisla-12yrs-1l,2023-09-24,"From the oldest distillery in the Highlands, Strathisla is a more delicate style of Scotch. Do not think that this compromises anything though, you will find just as much depth in a glass of this as in any Lowland brut. A single malt from the Speyside rich in fruit flavours and sweet nut tones.",,
Smokehead Original 700ML,Whisky,Single Malt Whisky,"Rs. 8,600",N/A,1,Scotland,700ML,43%,Smokehead,https://cheers.com.np/liquor/product/smokehead-original-700ml-1,2023-09-24,"The Original Smokehead is an immense, life-affirming whisky that stands out from the crowd.","Intensely rich yet subtly sweet, Smokehead embodies wild spirit and appeals to those with an appreciation for heavy, earthy peat.","With immense smoke and notes of sea salt and spice, this is a vigorous whisky that stands out from the crowd."
Singleton 18yrs 700ML,Whisky,Single Malt Whisky,"Rs. 15,000",N/A,1,Scotland,700ML,40%,Singleton,https://cheers.com.np/liquor/product/singleton-18yrs-700ml,2023-09-24,Our 18 year old single malt scotch whisky is matured in a high proportion of American oak casks with a small portion of European oak casks to balance the liquid.,"The result is smooth, sublime and full of character notes of sweet, stewed fruits, sumptuous berries, dark toffee and silky honey.",Intense amber.
Singleton 15yrs 700ML,Whisky,Single Malt Whisky,"Rs. 11,000",N/A,1,Scotland,700ML,40%,Singleton,https://cheers.com.np/liquor/product/singleton-15yrs-700ml,2023-09-24,Our 15 year old single malt scotch whisky is matured in a high proportion of American oak casks with a small portion of European oak casks to balance the liquid.,"The result is an easy to enjoy single malt with a fruity decadence and notes of zesty coriander, zingy pepper, honey and creamy toffee.",Light copper.
Singleton 12yrs 700ML,Whisky,Single Malt Whisky,"Rs. 7,500",N/A,1,Scotland,700ML,40%,Singleton,https://cheers.com.np/liquor/product/singleton-12yrs-700ml,2023-09-24,Our 12 year old single malt scotch whisky is matured in a high proportion of American oak casks with a small portion of European oak casks to balance the liquid.,"The result is an easy to enjoy single malt with notes of luscious brown sugar, soft cooked apples and creamy toffee, best served with laughter and good company.","Deep gold, polished mahogany highlights."
